Month,Total Revenue Generated,Total Cost,Total Profits,Bench Budget Consumption,Total Possible Business Value (attrition and demand),Total Captured Business Value (attrition and demand),Total Lost Business Value (attrition and demand),Possible Business Value (through new demand),Captured Business Value (through new demand),Lost Business Value (through new demand),Possible Business Value (replacing resignations),Captured Business Value (replacing resignations),Lost Business Value (replacing resignations)
1,8609400,6735605,1873795,182895,316800,111600,205200,171000,23400,147600,145800,88200,57600
2,8527500,6623265,1904235,132890,435600,61200,374400,292500,23400,269100,143100,37800,105300
3,8629200,6717110,1912090,149330,557100,243000,314100,415800,118800,297000,141300,124200,17100
4,8797500,6920555,1876945,224680,389700,297900,91800,260100,172800,87300,129600,125100,4500
5,8844300,7208940,1635360,477445,237600,190800,46800,93600,53100,40500,144000,137700,6300
6,9139500,7374025,1765475,417850,431100,429300,1800,297000,297000,0,134100,132300,1800
7,9418500,7423345,1995155,254820,461700,428400,33300,312300,283500,28800,149400,144900,4500
8,9622800,7509655,2113145,185635,475200,345600,129600,333900,214200,119700,141300,131400,9900
9,9940500,7706250,2234250,140425,518400,468000,50400,368100,318600,49500,150300,149400,900
10,10315800,7975455,2340345,123985,548100,518400,29700,405000,377100,27900,143100,141300,1800
11,10599300,8180270,2419030,113025,450900,443700,7200,290700,283500,7200,160200,160200,0
12,10657800,8220000,2437800,108230,330300,218700,111600,170100,58500,111600,160200,160200,0
